Time,AF7,Blinking
1.3113021850585938e-05,4.346635,True
0.003919363021850586,6.5737824,True
0.007825613021850586,9.35265,True
0.011731863021850586,12.649042,True
0.015638113021850586,16.420424,True
0.019544363021850586,20.626368,True
0.023450613021850586,25.189482,True
0.027356863021850586,29.981638,True
0.031263113021850586,34.866978,True
0.035169363021850586,39.732086,True
0.039075613021850586,44.458317,True
0.042981863021850586,48.896652,True
0.046888113021850586,52.9014,True
0.050794363021850586,56.37326,True
0.054700613021850586,59.24277,True
0.058606863021850586,61.427372,True
0.06251311302185059,62.838833,True
0.06641936302185059,63.424297,True
0.07032561302185059,63.16351,True
0.07423186302185059,62.02656,True
0.07813811302185059,59.965504,True
0.08204436302185059,56.94297,True
0.08595061302185059,52.928356,True
0.08985686302185059,47.853184,True
0.09376311302185059,41.599174,True
0.09766936302185059,34.045856,True
0.10157561302185059,25.110802,True
0.10548186302185059,14.738471,True
0.10938811302185059,2.8920739,True
0.11329436302185059,-10.401237,True
0.11720061302185059,-25.000782,True
0.12110686302185059,-40.66236,True
0.12501311302185059,-57.076027,True
0.12891936302185059,-73.86232,True
0.13282561302185059,-90.5447,True
0.13673186302185059,-106.573715,True
0.14063811302185059,-121.39802,True
0.14454436302185059,-134.50038,True
0.14845061302185059,-145.38403,True
0.15235686302185059,-153.58478,True
0.15626311302185059,-158.733,True
0.16016936302185059,-160.59294,True
0.16407561302185059,-159.03824,True
0.16798186302185059,-154.02727,True
0.17188811302185059,-145.63371,True
0.17579436302185059,-134.08057,True
0.17970061302185059,-119.71,True
0.18360686302185059,-102.925934,True
0.18751311302185059,-84.1871,True
0.19141936302185059,-64.029144,True
0.19532561302185059,-43.034386,True
0.19923186302185059,-21.758932,True
0.20313811302185059,-0.70614076,True
0.20704436302185059,19.643484,True
0.21095061302185059,38.829197,True
0.21485686302185059,56.456326,True
0.21876311302185059,72.21887,True
0.22266936302185059,85.86923,True
0.22657561302185059,97.20205,True
0.23048186302185059,106.09234,True
0.23438811302185059,112.527756,True
0.23829436302185059,116.577896,True
0.24220061302185059,118.34556,True
0.24610686302185059,117.96989,True
0.2500131130218506,115.65809,True
0.2539193630218506,111.67656,True
0.2578256130218506,106.30533,True
0.2617318630218506,99.80816,True
0.2656381130218506,92.42969,True
0.2695443630218506,84.399086,True
0.2734506130218506,75.93156,True
0.2773568630218506,67.228355,True
0.2812631130218506,58.475735,True
0.2851693630218506,49.843395,True
0.2890756130218506,41.482735,True
0.2929818630218506,33.525185,True
0.2968881130218506,26.077528,True
0.3007943630218506,19.204468,True
0.3047006130218506,12.907236,True
0.3086068630218506,7.1369915,True
0.3125131130218506,1.8355298,True
0.3164193630218506,-3.0674767,True
0.3203256130218506,-7.7022357,True
0.3242318630218506,-12.2683735,True
0.3281381130218506,-16.98788,True
0.3320443630218506,-22.071856,True
0.3359506130218506,-27.732662,True
0.3398568630218506,-34.184017,True
0.3437631130218506,-41.567146,True
0.3476693630218506,-49.829002,True
0.3515756130218506,-58.664646,True
0.3554818630218506,-67.58827,True
0.3593881130218506,-76.046005,True
0.3632943630218506,-83.468605,True
0.3672006130218506,-89.29728,True
0.3711068630218506,-93.050255,True
0.3750131130218506,-94.39496,True
0.3789193630218506,-93.15138,True
0.3828256130218506,-89.24794,True
0.3867318630218506,-82.71402,True
0.3906381130218506,-73.711784,True
0.3945443630218506,-62.529755,True
0.3984506130218506,-49.52589,True
0.4023568630218506,-35.0968,True
0.4062631130218506,-19.698193,True
0.4101693630218506,-3.843809,True
0.4140756130218506,11.9548,True
0.4179818630218506,27.23993,True
0.4218881130218506,41.596794,True
0.4257943630218506,54.63515,True
0.4297006130218506,66.0277,True
0.4336068630218506,75.56198,True
0.4375131130218506,83.13058,True
0.4414193630218506,88.681915,True
0.4453256130218506,92.20832,True
0.4492318630218506,93.771935,True
0.4531381130218506,93.49816,True
0.4570443630218506,91.52269,True
0.4609506130218506,87.96177,True
0.4648568630218506,82.933205,True
0.4687631130218506,76.563416,True
0.4726693630218506,68.946144,True
0.4765756130218506,60.11812,True
0.4804818630218506,50.098015,True
0.4843881130218506,38.92843,True
0.4882943630218506,26.659443,True
0.4922006130218506,13.321055,True
0.4961068630218506,-1.0439484,True
0.5000131130218506,-16.321344,True
0.5039193630218506,-32.322792,True
0.5078256130218506,-48.823624,True
0.5117318630218506,-65.560974,True
0.5156381130218506,-82.194084,True
0.5195443630218506,-98.3069,True
0.5234506130218506,-113.467514,True
0.5273568630218506,-127.263245,True
0.5312631130218506,-139.27917,True
0.5351693630218506,-149.09534,True
0.5390756130218506,-156.34505,True
0.5429818630218506,-160.76375,True
0.5468881130218506,-162.17268,True
0.5507943630218506,-160.45348,True
0.5547006130218506,-155.57642,True
0.5586068630218506,-147.64021,True
0.5625131130218506,-136.85164,True
0.5664193630218506,-123.47413,True
0.5703256130218506,-107.8247,True
0.5742318630218506,-90.306435,True
0.5781381130218506,-71.40217,True
0.5820443630218506,-51.632393,True
0.5859506130218506,-31.529137,True
0.5898568630218506,-11.622751,True
0.5937631130218506,7.579331,True
0.5976693630218506,25.615564,True
0.6015756130218506,42.087753,True
0.6054818630218506,56.67316,True
0.6093881130218506,69.131645,True
0.6132943630218506,79.308266,True
0.6172006130218506,87.131836,True
0.6211068630218506,92.610275,True
0.6250131130218506,95.826645,True
0.6289193630218506,96.942955,True
0.6328256130218506,96.196075,True
0.6367318630218506,93.85021,True
0.6406381130218506,90.12553,True
0.6445443630218506,85.17857,True
0.6484506130218506,79.13817,True
0.6523568630218506,72.11364,True
0.6562631130218506,64.15397,True
0.6601693630218506,55.235138,True
0.6640756130218506,45.3141,True
0.6679818630218506,34.384277,True
0.6718881130218506,22.473965,True
0.6757943630218506,9.630158,True
0.6797006130218506,-4.0501266,True
0.6836068630218506,-18.374966,True
0.6875131130218506,-33.069004,True
0.6914193630218506,-47.816673,True
0.6953256130218506,-62.261395,True
0.6992318630218506,-75.97831,True
0.7031381130218506,-88.500755,True
0.7070443630218506,-99.39275,True
0.7109506130218506,-108.281975,True
0.7148568630218506,-114.837685,True
0.7187631130218506,-118.76772,True
0.7226693630218506,-119.86507,True
0.7265756130218506,-118.0381,True
0.7304818630218506,-113.28033,True
0.7343881130218506,-105.639565,True
0.7382943630218506,-95.245674,True
