timestamps,TP9,AF7,AF8,TP10,Right AUX
1786901611.416,0.000,-170.898,0.000,220.215,0.000
1786901611.420,-272.949,-239.746,-139.648,433.594,0.000
1786901611.424,288.086,-34.180,96.191,19.531,0.000
1786901611.427,386.230,-40.039,123.047,-216.309,0.000
1786901611.431,-155.273,-163.574,79.102,147.461,0.000
1786901611.435,-329.102,-156.738,110.352,456.543,0.000
1786901611.439,186.035,-166.016,121.582,216.797,0.000
1786901611.443,470.215,-187.988,102.051,-90.820,0.000
1786901611.447,32.715,-311.523,-28.320,158.691,0.000
1786901611.451,-340.332,-368.652,-51.270,578.613,0.000
1786901611.455,16.113,-61.523,245.605,402.344,0.000
1786901611.459,501.465,-12.207,280.273,41.992,0.000
1786901611.462,198.242,-117.188,281.738,174.805,0.000
1786901611.467,-352.051,-86.426,336.914,607.422,0.000
1786901611.470,-153.320,-11.230,375.488,670.410,0.000
1786901611.474,435.059,-65.918,348.145,353.516,0.000
1786901611.478,341.309,-163.574,322.266,285.645,0.000
1786901611.482,-248.535,-92.773,401.855,690.918,0.000
1786901611.486,-239.746,-123.047,365.723,925.293,0.000
1786901611.490,335.938,-210.938,286.621,590.332,0.000
1786901611.494,444.824,-262.695,264.648,340.820,0.000
1786901611.498,-131.836,-119.629,359.375,591.309,0.000
1786901611.502,-354.980,0.977,409.180,887.207,0.000
1786901611.505,178.711,-166.992,321.289,683.105,0.000
1786901611.509,528.320,-314.941,275.391,333.496,0.000
1786901611.513,51.270,-153.320,379.395,459.961,0.000
1786901611.517,-398.438,1.953,465.820,840.332,0.000
1786901611.521,-14.160,-193.848,332.031,855.957,0.000
1786901611.525,507.324,-284.668,293.945,549.805,0.000
1786901611.529,233.887,-109.863,408.691,529.297,0.000
1786901611.533,-293.457,-147.461,396.484,871.582,0.000
1786901611.537,-127.441,-318.848,239.258,995.117,0.000
1786901611.541,427.246,-302.246,248.047,608.887,0.000
1786901611.545,375.000,-34.668,419.922,333.008,0.000
1786901611.548,-174.805,-51.270,417.969,723.633,0.000
1786901611.552,-253.418,-142.090,413.574,999.512,0.000
1786901611.556,291.504,-140.625,374.023,736.328,0.000
1786901611.560,0.000,-96.191,384.277,416.992,0.000
1786901611.564,0.000,-125.977,398.926,664.551,0.000
1786901611.568,0.000,-236.328,333.984,999.512,0.000
1786901611.572,0.000,-127.441,381.348,828.613,0.000
1786901611.576,0.000,-62.500,413.086,460.938,0.000
1786901611.580,0.000,-223.145,335.449,559.570,0.000
1786901611.584,0.000,-309.570,300.781,931.641,0.000
1786901611.587,0.000,-198.242,343.262,890.137,0.000
1786901611.591,0.000,-23.926,400.391,454.102,0.000
1786901611.595,0.000,-108.887,359.863,428.711,0.000
1786901611.599,0.000,-212.402,336.914,824.707,0.000
1786901611.603,0.000,-62.012,409.668,900.879,0.000
1786901611.607,415.527,-46.387,407.715,583.008,0.000
1786901611.611,475.098,-217.773,294.434,401.855,0.000
1786901611.615,-111.816,-201.172,328.613,685.059,0.000
1786901611.619,-263.184,-47.363,438.477,914.551,0.000
1786901611.623,285.156,-60.547,437.012,641.602,0.000
1786901611.627,561.035,-261.230,267.090,430.664,0.000
1786901611.630,40.527,-338.867,229.980,672.363,0.000
1786901611.634,-360.840,-114.258,391.602,916.016,0.000
1786901611.638,70.312,-21.973,425.293,722.656,0.000
1786901611.642,559.082,-226.074,279.297,380.371,0.000
1786901611.646,205.566,-204.102,307.129,416.992,0.000
1786901611.650,-318.359,1.465,451.660,758.301,0.000
1786901611.654,-46.387,-36.621,431.641,808.594,0.000
1786901611.658,509.766,-95.215,421.875,462.402,0.000
1786901611.662,354.980,-88.867,389.648,371.094,0.000
1786901611.666,-214.844,-36.133,427.734,692.383,0.000
1786901611.670,-174.316,-46.875,409.668,847.168,0.000
1786901611.673,425.781,-147.949,316.406,544.922,0.000
1786901611.677,517.090,-143.066,314.941,317.871,0.000
1786901611.681,-75.195,0.977,380.859,575.195,0.000
1786901611.685,-275.391,26.855,366.699,844.727,0.000
1786901611.689,250.977,-94.727,302.734,621.094,0.000
1786901611.693,543.945,49.316,346.680,219.238,0.000
1786901611.697,92.285,138.672,382.324,350.586,0.000
1786901611.701,0.000,3.418,306.641,730.469,0.000
1786901611.705,0.000,-4.395,290.527,615.723,0.000
1786901611.709,0.000,89.355,317.383,199.219,0.000
1786901611.713,0.000,48.828,311.523,197.754,0.000
1786901611.717,0.000,-55.664,240.234,563.965,0.000
1786901611.720,0.000,-134.766,167.969,603.516,0.000
1786901611.724,0.000,-23.438,240.723,187.988,0.000
1786901611.728,0.000,67.871,292.969,36.133,0.000
1786901611.732,0.000,-175.781,98.145,418.945,0.000
1786901611.736,0.000,-157.227,102.051,561.035,0.000
1786901611.740,0.000,82.520,277.344,189.453,0.000
1786901611.744,0.000,-62.988,167.480,-40.527,0.000
1786901611.748,-101.074,-168.457,114.258,214.355,0.000
1786901611.752,-387.695,-23.438,221.191,483.887,0.000
1786901611.756,100.098,80.078,270.020,279.297,0.000
1786901611.760,472.656,-20.996,168.945,-34.180,0.000
1786901611.763,53.223,-62.500,141.113,101.074,0.000
1786901611.767,-406.250,-68.359,144.531,458.496,0.000
1786901611.771,-100.586,-44.434,146.973,401.367,0.000
1786901611.775,429.199,-53.711,59.570,15.137,0.000
1786901611.779,203.125,-233.887,-176.270,4.883,0.000
1786901611.783,-398.438,-53.223,2.441,339.355,0.000
1786901611.787,-274.414,163.574,212.891,424.805,0.000
1786901611.791,333.008,-37.598,9.277,112.793,0.000
1786901611.795,317.383,-99.121,-112.305,-87.402,0.000
1786901611.799,-266.602,16.602,43.457,209.961,0.000
1786901611.803,-353.027,-10.254,52.246,457.031,0.000
1786901611.807,201.172,-133.789,-264.160,180.664,0.000
1786901611.811,395.020,-85.449,-239.746,-145.508,0.000
1786901611.814,-120.117,-28.320,-105.957,53.711,0.000
1786901611.818,-421.387,19.043,-133.789,382.812,0.000
1786901611.822,44.434,-78.613,-212.402,255.371,0.000
1786901611.826,439.941,-129.883,-387.207,-126.465,0.000
1786901611.830,34.668,91.309,-192.871,-126.465,0.000
1786901611.834,-434.082,67.383,-76.172,264.160,0.000
1786901611.838,-143.066,-134.277,-216.797,311.523,0.000
1786901611.842,377.930,-63.477,-269.531,-91.797,0.000
1786901611.846,211.426,79.590,-211.426,-201.172,0.000
1786901611.850,-316.406,-20.996,-259.277,201.660,0.000
1786901611.854,-259.277,-59.082,-311.523,350.586,0.000
1786901611.857,309.082,-30.762,-315.918,-3.906,0.000
1786901611.861,387.695,-88.867,-379.395,-191.406,0.000
1786901611.865,-176.758,-134.277,-416.504,127.441,0.000
1786901611.869,-354.492,-102.051,-348.145,395.996,0.000
1786901611.873,165.527,11.719,-299.316,114.258,0.000
1786901611.877,460.449,61.523,-283.203,-219.727,0.000
1786901611.881,-2.930,-100.586,-377.930,-3.418,0.000
1786901611.885,-395.020,-176.270,-402.344,338.379,0.000
1786901611.889,-14.160,27.832,0.000,178.223,0.000
1786901611.893,471.680,86.914,0.000,-179.199,0.000
1786901611.896,175.781,-147.461,0.000,-89.844,0.000
